name,state_abbr,degree_type,cash_monitoring,pred_degree_type,highest_degree,type_school,ST_FIPS,REGION,LOCALE,hbcu,pbi,annhi,tribal,AANAPII,his,nanti,men_only,women_only,admission_rate,sat_avg,distance_only,netprice_lowincome,tuit_fte,inexp_fte,avg_fac_salary,pct_ft_fac,pct_pell,C150_POOLED,age_entry,first_gen,med_fam_inc,pct_grad_degree,pct_domestic,median_hh_income,poverty_rate,unemployment_rate
St Lawrence University,NY,3,0,3,4,2,36,2,33,0,0,0,0,0,0,0,0,0,0.565459076,1326,0,13196,22622,16316,10091,0.7949,0.2092,0.8091,19.42875648,0.131897712,84830.5,13.73999977,92.01000214,68738.71,6.800000191,3.49000001
The College of Saint Rose,NY,3,0,3,4,2,36,2,13,0,0,0,0,0,0,0,0,0,0.763314917,NULL,0,20216,10844,9332,7935,0.4962,0.4171,0.5895,20.45391545,0.293626707,52000,11.56999969,92.63999939,65757.44,6.449999809,3.349999905
St. Thomas Aquinas College,NY,3,0,3,4,2,36,2,21,0,0,0,0,0,0,0,0,0,0.892025406,1159,0,11343,13916,8910,9142,0.4118,0.2202,0.5782,20.36142322,0.316666667,61972,13.35999966,78.84999847,86845.1,7.340000153,3.140000105
Samaritan Hospital School of Nursing,NY,2,0,2,2,2,36,2,13,0,0,0,0,0,0,0,0,0,0.75,NULL,0,12394,15790,19961,8047,NULL,0.3947,0.5,29.37313433,0.316239316,31748.5,11.42000008,94.38999939,59227.99,7,3.880000114
Sarah Lawrence College,NY,3,0,3,4,2,36,2,21,0,0,0,0,0,0,0,0,0,0.584681042,1376,0,19080,27983,18823,9769,0.375,0.1455,0.7447,19.46062053,0.107843137,87665,17.06999969,82.18000031,76763,7.360000134,3.420000076
Schenectady County Community College,NY,2,0,2,2,1,36,2,13,0,0,0,0,1,0,0,0,0,NULL,NULL,0,3301,2258,4674,5691,1,0.264,0.2414,24.78921569,0.429859719,22750.5,10.42000008,93.26999664,56480.42,9.460000038,3.589999914
Sh'or Yoshuv Rabbinical College,NY,3,0,3,3,2,36,2,21,0,0,0,0,0,0,0,1,0,NULL,NULL,0,NULL,7868,14327,5535,0.9143,0.0337,0.0811,22.36363636,PrivacySuppressed,21919,13.43000031,65.33000183,59055.45,14.56000042,4.320000172
Siena College,NY,3,0,3,4,2,36,2,21,0,0,0,0,0,0,0,0,0,0.828312202,NULL,0,25950,18326,9693,8886,0.6343,0.2399,0.7907,19.97154754,0.205389658,84065,12.59000015,91.19999695,72227.51,5.75,3.099999905
Skidmore College,NY,3,0,3,3,2,36,2,23,0,0,0,0,0,0,0,0,0,0.305923407,1373,0,12490,34186,20417,10211,0.8084,0.1588,0.8494,19.51260504,0.148314607,78843.5,17.25,85.62999725,78806.42,7.170000076,3.269999981
St. Joseph's University-New York,NY,3,0,3,4,2,36,2,11,0,0,0,0,0,0,0,0,0,0.797662527,1165,0,12917,16907,9081,9347,1,0.3326,0.7059,24.00999049,0.37574124,48213.5,9.68999958,82.29000092,81308.04,6.900000095,3.24000001
Saint Vladimirs Orthodox Theological Seminary,NY,3,0,4,4,2,36,2,21,0,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,4546,13030,6589,0.4375,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
